Triple,Anomaly Description,Correction Suggestion
`1919-07-26 -> actedIn -> James_Lovelock,Date in role,Change predicate to bornOnDate`
`Kazan -> actedIn -> Nikolay_Bauman,Location in role,Change predicate to bornIn`
`The_Trust_(1915_film) -> bornOnDate -> Vera_Sisson,Film as date,Change predicate to actedIn`
`School_for_Scoundrels_(2006_film) -> bornOnDate -> Ben_Stiller,Film as date,Change predicate to actedIn`
`Canada -> bornIn -> Louis_R._Chênevert,Country as specific location,Specify more precise location`
`Totally_Doctor_Who -> bornIn -> Kirsten_O%27Brien,Show as location,Change predicate to actedIn`
`She_Loves_Me_Not -> bornIn -> Harold_Lloyd,Film as location,Change predicate to actedIn`
`The_Super_Globetrotters -> bornIn -> John_Williams,Show as location,Change predicate to actedIn`
`Nimba_County -> actedIn -> Moses_Blah,Administrative region in role,Change predicate to bornIn`
`1757-##-## -> bornOnDate -> Charles_Malo_François_Lameth,Exact date missing,Use complete date or estimate`
`1912-##-## -> bornIn -> Louis_Paul_Boon,Exact location missing,Use complete location`
`Starnberg -> actedIn -> Archduke_Georg_of_Austria,Location in role,Change predicate to bornIn`
`1983-##-## -> actedIn -> Anna_Lührmann,Date in role,Change predicate to bornOnDate`
1. 1957-##-## -> actedIn -> Diana_DeGette,Date should indicate birth not acting,Use 'bornOnDate'.
2. Chennai_Kadhal -> bornIn -> Genelia_D%27Souza,Incorrect relation for location and actor,Use 'actedIn'.
5. State_of_Play_(TV_serial) -> bornOnDate -> James_McAvoy,Serial not a birth location or date,Use 'actedIn'.
7. Grownups_(2006_TV_series) -> bornOnDate -> Sheridan_Smith,TV series not birth location or date,Use 'actedIn'.
1. Showoffs -> bornIn -> Bobby_Van,Invalid birth association,Verify birthplace and correct.
2. Toronto -> bornIn -> Steve_Stone_(ice_hockey),Invalid birthplace association,Check birth city and correct.
3. 109#-##-## -> actedIn -> Thierry,_Count_of_Flanders,"Invalid date format, Correct date or entity type."
4. Comes_a_Horseman -> bornOnDate -> Richard_Farnsworth,Item misclassification,Change to correct relation.
5. County_Armagh -> actedIn -> Rónán_Clarke,Place acting mismatch,Correct place or relationship.
6. Shrek_(film_series) -> bornOnDate -> John_Lithgow,Misclassified film,Correct relation type.
7. 1951-10-20 -> actedIn -> Ken_Ham,Invalid association with date,Correct entity/relation.
9. 1288-##-## -> actedIn -> Charles_I_of_Hungary,Invalid date format,Verify information and correct.
10. 1560-10-10 -> actedIn -> Jacobus_Arminius,Period incorrect for acting,Verify and correct.
Piraeus -> bornOnDate -> Alexandros_Christofis,'Piraeus is a place not a date',Change 'bornOnDate' to 'bornIn'.
4##-##-## -> bornIn -> Pope_Symmachus,'Incomplete date format',Specify full valid date.
Falling_in_Love_(film) -> bornOnDate -> Harvey_Keitel,'Film can't have birth date',Use 'actedIn'.
1949-##-## -> actedIn -> Mary_Pope_Osborne,'Date can't act',Use 'bornOnDate'.
1914-##-## -> actedIn -> Johannes_Virolainen,'Date can't act',Use 'bornOnDate'.
New_York_City -> actedIn -> Schuyler_Colfax,'City can't act',Change to 'bornIn'.
106-##-## -> bornOnDate -> Servius_Sulpicius_Rufus,'Incomplete date format',Specify full valid date.
The_Barber -> bornOnDate -> Malcolm_McDowell,'Film can't have birth date',Use 'actedIn'.
Four_Frightened_People -> bornOnDate -> William_Gargan,'Film can't have birth date',Use 'actedIn'.
Maine_Pyar_Kiya -> bornOnDate -> Alok_Nath,'Film can't have birth date',Use 'actedIn'.
1924-12-25 -> actedIn -> Atal_Bihari_Vajpayee,'Date can't act',Use 'bornOnDate'.
Waterford -> actedIn -> Frankie_Walsh,'Location can't act',Change to 'bornIn'.
Aquileia -> actedIn -> Chromatius,'Location can't act',Change to 'bornIn'.
Illinois -> actedIn -> Napoleon_Bonaparte_Brown,'Location can't act',Change to 'bornIn'.
Hanau -> actedIn -> Franciscus_Sylvius,'Location can't act',Change to 'bornIn'.
1951-##-## -> actedIn -> Tony_Isabella,Incorrect relation,Change 'actedIn' to 'bornOnDate'
Dublin -> bornIn -> Khalid_Kelly,Incorrect object type,Change 'bornIn' to 'bornOnDate'
The_Astounding_She-Monster -> bornOnDate -> Kenne_Duncan,Incorrect relation,Change 'bornOnDate' to 'actedIn'
Remember_Me_This_Way_(film) -> bornIn -> Gary_Glitter,Incorrect object type,Change 'bornIn' to 'bornOnDate'
Naina -> bornIn -> Urmila_Matondkar,Incorrect relation,Change 'bornIn' to 'actedIn'
The_Cobweb_(film) -> bornIn -> Fay_Wray,Incorrect object type,Change 'bornIn' to 'bornOnDate'
1812-##-## -> bornOnDate -> Karl_Schwarz,Incorrect subject type,Change 'bornOnDate' to 'actedIn'
Galashiels -> actedIn -> Gregor_Townsend,Incorrect relation,Change 'actedIn' to 'bornIn'
Thiruvannaamalai -> actedIn -> R._Velu,Incorrect relation,Change 'actedIn' to 'bornIn'
1854-##-## -> bornOnDate -> Albert_Edelfelt,Incorrect subject type,Change 'bornOnDate' to 'actedIn'
1756-##-## -> actedIn -> Henry_Raeburn,Incorrect subject type,Change 'actedIn' to 'bornOnDate'
Terschelling -> actedIn -> Willem_Barentsz,Incorrect relation,Change 'actedIn' to 'bornIn'
Murderers%27_Row_(film) -> bornIn -> Karl_Malden,Incorrect object type,Change 'bornIn' to 'bornOnDate'
Rome -> bornOnDate -> Infante_Alfonso_of_Spain,Incorrect relation,Change 'bornOnDate' to 'bornIn'
Satya_In_Love -> bornOnDate -> Genelia_D%27Souza,Incorrect relation,Change 'bornOnDate' to 'actedIn'
1916-##-## -> bornIn -> Chiang_Wei-kuo,Incorrect subject type,Change 'bornIn' to 'bornOnDate'
Medicine_Hat -> bornIn -> Rob_Renner,Incorrect relation,Change 'bornIn' to 'bornOnDate'
1949-##-## -> bornIn -> Wilfrido_Vargas,Incorrect subject type,Change 'bornIn' to 'bornOnDate'
1965-##-## -> bornOnDate -> Robert_Tappan_Morris,Incorrect subject type,Change 'bornOnDate' to 'actedIn'
Age_of_Love_(TV_series) -> bornOnDate -> Mark_Philippoussis,Incorrect relation,Change 'bornOnDate' to 'actedIn'
The_Spy_in_Black -> bornOnDate -> Sebastian_Shaw_(actor),Incorrect relation 'bornOnDate',Change to 'actedIn'
Knots_Landing -> bornIn -> Joan_Van_Ark,Incorrect relation 'bornIn',Change to 'actedIn'
London -> actedIn -> Sir_George_Bonham,_1st_Baronet,"Incorrect relation 'actedIn', Change to 'bornIn'"
Closed_Door -> bornIn -> Alan_Autry,Incorrect relation 'bornIn',Change to 'actedIn'
Dolls_(film) -> bornOnDate -> Hidetoshi_Nishijima,Incorrect relation 'bornOnDate',Change to 'actedIn'
Detention_(2003_film) -> bornIn -> Dolph_Lundgren,Incorrect relation 'bornIn',Change to 'actedIn'
Sign_o%27_the_Times_(film) -> bornIn -> Prince_(musician),Incorrect relation 'bornIn',Change to 'actedIn'
While_You_Were_Sleeping -> bornIn -> Jack_Warden,Incorrect relation 'bornIn',Change to 'actedIn'
Vancouver -> bornOnDate -> Carey_Price,Incorrect relation 'bornOnDate',Change to 'bornIn'
1924-##-## -> actedIn -> Rik_Van_Steenbergen,Incorrect entity type for date,Change to bornOnDate
186#-##-## -> actedIn -> Frank_Hopkins,Incorrect entity type for date,Change to bornOnDate
1844-##-## -> bornOnDate -> Robert_Bridges,Incorrect relation for date,Change to bornIn
Tuesday_(film) -> bornOnDate -> Philip_Glenister,Incorrect relation 'bornOnDate',Change to 'actedIn'
Evolver_(film) -> bornIn -> Paul_Dooley,Incorrect relation 'bornIn',Change to 'actedIn'
1956-##-## -> actedIn -> Anita_Hill,Incorrect entity type for date,Change to bornOnDate
Vaanavil -> bornIn -> Prakash_Rai,Incorrect relation 'bornIn',Change to 'actedIn'
Harima_Province -> bornOnDate -> Miyamoto_Musashi,Incorrect relation 'bornOnDate',Change to 'bornIn'
1832-##-## -> bornOnDate -> Shadworth_Hodgson,Incorrect relation for date,Change to bornIn
1. The_Mambo_Kings -> bornIn -> Scott_Cohen,Movie can't be birth location,Change relation to actedIn.
2. 1537-05-20 -> bornIn -> Hieronymus_Fabricius,Dates can't be locations,Correct date format or relation.
5. 556-##-## -> bornIn -> Simonides_of_Ceos,Dates can't be locations,Correct date format or relation.
6. 1920-##-## -> bornIn -> Georges_Marchais,Dates can't be locations,Correct date format or relation.
7. England -> bornOnDate -> Tom_Williams_(rugby_player),Country can't be a date,Correct relation to bornIn.
8. Taxi_to_the_Dark_Side -> bornOnDate -> John_Yoo,Movie can't be a date,Change relation to actedIn/writeIn.
10. Bewitching_Attraction -> bornIn -> Ji_Jin-hee,Movie can't be birth location,Change relation to actedIn.
12. Zeist -> actedIn -> Guido_Verbeck,Location can't act,Change relation to bornIn.
13. 1085-##-## -> actedIn -> Bernard_Silvestris,Dates can't act,Correct date format or relation.
14. The_Horse%27s_Mouth_(film) -> bornOnDate -> Robert_Coote,Movie can't be a date,Change relation to actedIn.
15. Maybe_This_Time -> bornOnDate -> Craig_Ferguson,TV show can't be date,Change relation to actedIn.
16. 1815-##-## -> bornOnDate -> John_Banvard,Dates can't be people,Correct date format or relation.
17. Diary_of_a_Mad_Black_Woman -> bornOnDate -> Tyler_Perry,Movie can't be date,Change relation to writeIn/actedIn.
18. Baghdad -> bornIn -> Tawfiq_al-Suwaidi,Validity relies on context,Confirm reality.
19. 1826-##-## -> bornIn -> Frances_Tupper,Dates can't be locations,Correct date format or relation.
20. 1815-##-## -> bornIn -> Cornelius_Krieghoff,Dates can't be locations,Correct date format or relation.
21. Thomastown -> bornOnDate -> Tommy_Maher,Location can't be date,Correct relation to bornIn.
Love_Is_a_Many-Splendored_Thing_(film) -> bornIn -> Jennifer_Jones_(actor),Invalid relationship: film cannot have birthplace,Change relationship to 'actedIn'.
The_Poof_Point -> bornOnDate -> Raquel_Lee,Invalid relationship: film cannot have birth date,Change relationship to 'actedIn'.
Melbourne -> actedIn -> Alby_Schultz,Location cannot act,Change relationship to 'bornIn'.
Cockermouth -> actedIn -> Christopher_Wordsworth_(Trinity),Location cannot act,Change relationship to 'bornIn'.
Washington -> bornOnDate -> Leslie_E._Brown,Location cannot have birth date,Change relationship to 'bornIn'.
Paris -> actedIn -> Jean_le_Rond_d%27Alembert,Location cannot act,Change relationship to 'bornIn'.
London -> actedIn -> Anna_Wintour,Location cannot act,Change relationship to 'bornIn'.
Hedda_(film) -> bornOnDate -> Patrick_Stewart,Invalid relationship: film cannot have birth date,Change relationship to 'actedIn'.
1. Norddal -> bornOnDate -> Martin_Linge,"Misuse of property ""bornOnDate""","Change to ""bornIn""."
2. The_House_of_Darkness -> bornOnDate -> Lionel_Barrymore,"Misuse of property ""bornOnDate""","Change to ""actedIn""."
4. The_Warriors_(film) -> bornIn -> Michael_Beck,"Misuse of property ""bornIn""","Change to ""actedIn""."
5. Pachuca -> bornOnDate -> Jhonny_González,"Misuse of property ""bornOnDate""","Change to ""bornIn""."
6. 1883-##-## -> bornIn -> James_Garfield_Gardiner,"Misuse of property ""bornIn""","Change to ""bornOnDate""."
7. 1924-##-## -> bornIn -> Louis_Cha,"Misuse of property ""bornIn""","Change to ""bornOnDate""."
8. 1764-##-## -> bornOnDate -> Robert_Haldane,"Misuse of property ""bornOnDate""","Change to ""bornIn""."
9. 1805-02-13 -> actedIn -> Johann_Peter_Gustav_Lejeune_Dirichlet,"Misuse of property ""actedIn""",Remove or correct context.
10. Dnipropetrovsk -> bornOnDate -> Kliment_Voroshilov,"Misuse of property ""bornOnDate""","Change to ""bornIn""."
12. French_Kiss_(film) -> bornIn -> Timothy_Hutton,"Misuse of property ""bornIn""","Change to ""actedIn""."
13. Summer_Magic -> bornIn -> Una_Merkel,"Misuse of property ""bornIn""","Change to ""actedIn""."
1. Unfaithfully_Yours_(1984_film) -> bornIn -> Nastassja_Kinski,Location anomaly,Suggestion: Change to actedIn.
2. 149#-##-## -> actedIn -> David_Beaton,Date format invalid,Suggestion: Correct date format.
3. Bloodsport_(film) -> bornIn -> Jean-Claude_Van_Damme,Location anomaly,Suggestion: Change to actedIn.
4. Hilversum -> actedIn -> Joop_den_Uyl,Role type anomaly,Suggestion: Change to bornIn or livedIn.
`Vicious_Circle_(2008_film) -> bornOnDate -> Paul_Rodriguez_Jr.,Invalid date property usage,Correct to 'actedIn' or similar.`
`Pilsen -> bornOnDate -> Pavel_Trnka,Invalid date property usage,Correct to 'bornIn'.`
`Sydney -> bornOnDate -> Robert_Graves_(rugby),Invalid date property usage,Correct to 'bornIn'.`
`Uffenheim -> actedIn -> Johann_Lucas_Boër,Invalid actedIn property usage,Correct to historical reference.`
`Manhattan_Parade_(film) -> bornOnDate -> Winnie_Lightner,Invalid date property usage,Correct to 'actedIn'.`
`Usulután -> bornOnDate -> Antonio_Saca,Invalid date property usage,Correct to 'bornIn'.`
Passau -> bornIn -> Hans_Fruhstorfer,Invalid location for event (bornIn),Change 'bornIn' to 'bornOnDate'.
American_Music_Awards_of_2004 -> bornIn -> Jimmy_Kimmel,Event can't be birthplace,Replace 'bornIn' with 'hostedBy'.
Saint_Petersburg -> bornOnDate -> Grand_Duke_Vladimir_Alexandrovich_of_Russia,Date expected not location,Change 'bornOnDate' to 'bornIn'.
A_Night_to_Remember_(film) -> bornIn -> Honor_Blackman,Film not birthplace,Replace 'bornIn' with 'starredIn'.
Name_That_Tune -> bornIn -> Bill_Cullen,Show can't be birthplace,Replace 'bornIn' with 'hostedBy'.
Germany -> bornOnDate -> Richard_T._Davis,Date expected not country,Change 'bornOnDate' to 'bornIn'.
1. That_Night -> bornOnDate -> Juliette_Lewis,Movie can't be a birth date,Correct entity type.
2. Nagoya -> bornOnDate -> Shuhei_Fujioka,Place can't be a birth date,Correct entity type.
4. 1873-06-28 -> actedIn -> Alexis_Carrel,Date can't act,Correct subject.
5. 1828-03-20 -> actedIn -> Henrik_Ibsen,Date can't act,Correct subject.
6. 1754-##-## -> actedIn -> George_E._Clymer,Date can't act,Correct subject.
8. Lolita_(1997_film) -> bornIn -> Frank_Langella,Movie can't be a birthplace,Correct entity type.
1. Auckland -> actedIn -> David_Cunliffe,Location acting anomaly,Change 'actedIn' to appropriate relation.
2. 1932-##-## -> bornIn -> Dana_Scott,Date used as location,Correct to 'bornOnDate'.
3. Between_Two_Worlds -> bornOnDate -> John_Garfield,Media title as date,Use 'actedIn'.
5. A_Love_Iiiisshtory -> bornOnDate -> Niharika_Singh,Media title as date,Use 'actedIn'.
6. Melbourne -> bornOnDate -> Hugh_Evans,Location as date,Use 'bornIn'.
8. Pereslavl-Zalessky -> actedIn -> Alexander_Nevsky,Location acting anomaly,Use correct relation.
9. Phenomenon_(film) -> bornIn -> Robert_Duvall,Media title as location,Use 'actedIn'.
10. Worcestershire -> bornIn -> James_Piers_St_Aubyn,Location as location date,Correct location name.
11. The_Lakes_(TV_series) -> actedIn -> Robert_Pugh,Media title as person,Use appropriate relation.
12. ESPN_College_Football_Thursday_Primetime -> actedIn -> Erin_Andrews,Media title as person,Use appropriate relation.
14. Preaching_to_the_Perverted -> bornOnDate -> Christien_Anholt,Media title as date,Use 'actedIn'.
15. Moscow -> bornOnDate -> Daniil_Markov,Location as date,Use 'bornIn'.
16. 8##-##-## -> bornIn -> Boris_I_of_Bulgaria,Date used as location placeholder,Use actual date.
17. Boku_dake_no_Madonna -> actedIn -> Kyōko_Hasegawa,Media title as person,Use appropriate relation.
Invasion_of_the_Bee_Girls -> bornOnDate -> William_Smith_(actor),Misplaced 'bornOnDate',Change predicate to 'actedIn'
My_Left_Eye_Sees_Ghosts -> bornIn -> Lee_San-San,Misplaced 'bornIn',Change predicate to 'actedIn'
Sunday%27s_Children -> bornIn -> Lena_Endre,Misplaced 'bornIn',Change predicate to 'actedIn'
Red_Road_(film) -> bornOnDate -> Kate_Dickie,Misplaced 'bornOnDate',Change predicate to 'actedIn'
Bazentin -> actedIn -> Jean-Baptiste_Lamarck,Historical figure 'actedIn',Remove or correct
Plymouth -> bornIn -> William_Bligh,Entity mismatch,Swap subject and object
Commandos_Strike_at_Dawn -> bornOnDate -> Cedric_Hardwicke,Misplaced 'bornOnDate',Change predicate to 'actedIn'
The_State_of_Things_(film) -> actedIn -> Allen_Garfield,Misplaced 'actedIn',Change predicate to 'directedBy'
1956-##-## -> actedIn -> Billy_Costello,Nonsensical date with 'actedIn',Correct object/subject
Take_the_High_Ground%21 -> bornIn -> Elaine_Stewart,Misplaced 'bornIn',Change predicate to 'actedIn'
1827-##-## -> actedIn -> John_Ernst_Worrell_Keely,Nonsensical date with 'actedIn',Correct object/subject
The_Universe_(TV_series) -> bornIn -> Erik_Thompson,Misplaced 'bornIn',Change predicate to 'narratedBy'
1949-11-01 -> bornIn -> David_Foster,Date as subject,Correct object/subject
Bootmen -> bornIn -> Adam_Garcia,Misplaced 'bornIn',Change predicate to 'actedIn'
Kithakithalu -> bornIn -> 1976-##-##,Date as object,Correct object/subject
The_Replacements_(film) -> actedIn -> Tarbes,Location with 'actedIn',Incorrect object
1922-##-## -> bornIn -> 1933-##-##,Dates with 'bornIn',Nonsensical subject/object
Pengabdi_Setan -> bornIn -> 1880-08-22,Date as object,Correct object/subject
Rio_de_Janeiro -> bornIn -> Tracey_Takes_On...,Invalid entity relationships,Correct to 'actedIn'.
1471-05-21 -> bornOnDate -> Atlanta,_Georgia,"Invalid date format or relevance, Verify and update date/entity."
1975-02-01 -> bornOnDate -> Highway_Patrol_(TV_series),Incorrect date-type relationship,Correct relationship type.
1925-##-## -> bornIn -> The_Count_of_Monte_Cristo_(2002_film),Improbable entity-date relationship,Verify and correct.
Riga -> actedIn -> Cheyenne_(1955_TV_series),Incorrect geography-type relationship,Correct relationship type.
Salerno -> bornIn -> San_Francisco,_California,"Invalid geography relationship, Correct to a plausible relationship."
1932-11-08 -> bornOnDate -> 1584-06-13,Invalid date-date relationship,Verify and correct.
1945-##-## -> bornIn -> Wisconsin,Improbable date-location relationship,Correct to a valid entity.
574-##-## -> bornOnDate -> 1874-##-##,Invalid temporal data relationship,Verify and correct.
One_Week_(film) -> actedIn -> Looc,_Romblon,"Incorrect role entity relationship, Correct relationship type."
A_Raisin_in_the_Sun_(TV_movie) -> bornOnDate -> Malaysia,Invalid media-type relationship,Correct relationship type.
Anywhere_but_Here_(film) -> actedIn -> 1919-##-##,Incorrect media-date relationship,Correct relationship type.
1976-##-## -> bornIn -> 1436-06-06,Invalid date-date relationship,Verify chronological order.
Aarhus -> bornOnDate -> Silsila_Hai_Pyar_Ka,Incorrect geography-type relationship,Correct relationship type.
MVP_(TV_series) -> actedIn -> 1793-##-##,Incorrect media-date relationship,Verify and correct relationship.
Coburg -> actedIn -> Hirak_Rajar_Deshe,Invalid geography-type relationship,Correct relationship type.
1953-##-## -> bornOnDate -> Tirana_Year_Zero,Invalid date-medium relationship,Verify and correct.
Baby_Bottleneck -> actedIn -> Toy_Story_3,Invalid role relationship,Correct to 'featuredIn' or similar.
Hendon -> bornOnDate -> Pittsburg,_Kansas,"Invalid geography relationship, Correct to a location-event relationship."
Frozen_Stupid -> bornIn -> Santa_with_Muscles,Invalid media-type relationship,Verify media context or relationship.
The_Aura -> bornIn -> 1851-##-##,Invalid media-date relationship,Verify and correct.
The_Backyardigans -> bornOnDate -> London,Incorrect media-type relationship,Correct to 'airedIn' or similar.
Fire_Sale_(film) -> actedIn -> Rjukan,Invalid film-geography relation,Correct to suitable media role.
1907-##-## -> bornIn -> 1830-##-##,Invalid date-date relationship,Verify and correct.
1942-##-## -> bornIn -> 1891-06-05,Invalid date relationship,Verify and correct.
The_Gong_Show -> bornOnDate -> 1579-##-##,Invalid media-date relationship,Verify and correct.
Prague -> actedIn -> 1254-##-##,Invalid geography-date relationship,Verify and correct.
1. Cochabamba -> bornOnDate -> 1960-##-##,Invalid birth date for a location,Remove or correct entity.
3. Velika_Kladuša -> bornOnDate -> 1562-##-##,Invalid birth date for a location,Remove or correct entity.
4. 1859-12-21 -> bornIn -> 11##-##-##,Invalid birthdate format or location,Correct or remove entities.
6. Aamdani_Atthani_Kharcha_Rupaiyaa -> bornIn -> Tainan,Invalid birth relation for a film,Change location entity.
7. Dnipropetrovsk -> actedIn -> 1955-11-23,Invalid date as a movie,Correct or remove date entity.
9. 1955-02-11 -> actedIn -> The_Comedy_of_Terrors,Date cannot act,Correct triple entities.
11. 795-##-## -> bornOnDate -> 1894-07-26,Misplaced historical date entities,Rearrange or remove.
13. 1965-04-01 -> bornOnDate -> 1813-##-##,Invalid timeline of birth dates,Correct date sequence.
14. Prague -> actedIn -> San_Pedro,_Los_Angeles,"_California, Invalid act relation for a location, Correct location or actor."
16. Crossroads_(1986_film) -> bornOnDate -> Johnny_(1980_film),Films cannot have birth dates,Correct entity logic.
17. 1952-##-## -> actedIn -> 1907-05-22,Date entities misplaced,Rearrange or correct entities.
18. Gumrah -> bornIn -> Dune_(film),Films can't have birthplaces,Correct film or location entity.
19. Port_Moresby -> bornIn -> 1951-##-##,Invalid birth relation for a location,Correct or remove entities.
21. Egypt -> bornOnDate -> 1977-06-12,Country with birthdate invalid,Correct entities association.
22. Godzilla_Raids_Again -> actedIn -> 1659-##-##,Invalid acting date,Correct date or entity role.
23. Electric_Dragon_80.000_V -> bornIn -> The_SpongeBob_SquarePants_Movie,Invalid birth relation for films,Correct entities.
24. Hitler_Lives -> bornIn -> 1569-##-##,Films can't have birthplaces or dates,Correct information.
25. 1928-08-09 -> bornOnDate -> Cattaraugus_County,_New_York,"Invalid date relations, Correct entities."
26. Toronto -> bornIn -> 1810-##-##,City cannot have a birthdate,Correct entities or remove.
27. Peterborough -> actedIn -> Then_Came_Bronson,Invalid act relation for a location,Correct location or actor.
28. 1925-##-## -> actedIn -> New_York_City,Date can't act,Correct entities.
1. 1986_MTV_Video_Music_Awards -> bornOnDate -> Jake_2.0,Awards can't be born,Change relationship type.
2. Germany -> bornOnDate -> The_Ten,Countries can't be born,Change relationship type.
3. 1819-12-30 -> bornOnDate -> Emile_(film),Dates can't be born,Change the relationship type.
5. Balls_of_Fury -> bornOnDate -> ESPNU_Inside_the_Polls,Films can't be born,Change relationship type.
6. Stockholm -> bornIn -> The_Comet_Strikes,Locations can't be born,Change relationship type.
7. 1935-##-## -> actedIn -> Frostburg,_Maryland,"Incomplete date acting, Verify details."
8. The_Mission_(film) -> bornOnDate -> Oslo,Films can't be born,Change relationship type.
9. 1918-##-## -> bornIn -> 1978-10-27,Incomplete date as birthplace,Verify details.
10. Stark_Raving_Mad_(TV_series) -> bornOnDate -> St._Petersburg,_Florida,"TV series can't be born, Change relationship type."
11. Very_Bad_Things -> bornOnDate -> Out_of_Luck,Films can't be born,Change relationship type.
12. Battersea -> bornOnDate -> 1818-##-##,Locations can't be born,Change relationship type.
13. Greenfield_(Pittsburgh) -> bornOnDate -> 1742-##-##,Locations can't be born,Change relationship type.
14. New_York_City -> bornIn -> Operazione_San_Gennaro,Cities can't be born,Change relationship type.
16. Streetmate -> bornIn -> 1955-##-##,Shows can't be born,Change relationship type.
17. Le_Peuple_Migrateur -> bornOnDate -> 1782-01-18,Films can't be born,Change relationship type.
19. Philadelphia -> bornOnDate -> 1781-01-24,Locations can't be born,Change relationship type.
20. Swagatam -> bornOnDate -> 1933-11-03,Films can't be born,Change relationship type.
21. Mr._%26_Mrs._%2755 -> bornIn -> Dorchester,_New_Brunswick,"Films can't be born, Change relationship type."
22. 1920-##-## -> bornIn -> Paycheck_(film),Incomplete date as birthplace,Verify details.
23. Portage_la_Prairie -> bornOnDate -> Gol_%26_Gincu_The_Series,Locations can't be born,Change relationship type.
24. 1960-##-## -> bornOnDate -> 1737-##-##,Dates can't be born,Verify details.
26. 1588-##-## -> actedIn -> 170-##-##,Invalid acting date,Verify details.
27. 1941-08-07 -> bornIn -> 1462-##-##,Dates can't be birthplace,Verify details.
28. Palermo -> actedIn -> Carlton_North,_Victoria,"Cities can't act, Change relationship type."
29. Shaggy_%26_Scooby-Doo_Get_a_Clue%21 -> bornOnDate -> 306-##-##,Shows can't be born,Change relationship type.
1. Sugar_Rush_(TV_series) -> actedIn -> 1963-08-22,Invalid relationship between TV series and date,Change 'actedIn' to 'releasedOn'.
2. Strangled_Harmony -> bornIn -> Hannibal_-_Rome%27s_Worst_Nightmare,Invalid relationship between entity and movie,Change 'bornIn' to related location.
3. The_Red_Violin -> actedIn -> 1929-##-##,Invalid relationship between film and date,Change 'actedIn' to 'releasedOn'.
4. Northern_England -> bornIn -> 1628-01-12,Invalid relationship between region and date,Change 'bornIn' to 'establishedOn'.
5. The_Presidio_(film) -> bornOnDate -> A_Zed_%26_Two_Noughts,Invalid relationship between film and entity,Change 'bornOnDate' to 'inspiredBy'.
6. 1740-##-## -> bornIn -> Nobody_Knows_(2004_film),Invalid relationship between date and film,Change 'bornIn' to 'releasedOn'.
7. 1920-02-18 -> bornOnDate -> Traveling_(film),Invalid relationship between date and film,Change 'bornOnDate' to 'releasedOn'.
8. Hard_Luck -> bornOnDate -> Radcliffe_on_Trent,Invalid relationship for entity type,Remove 'bornOnDate'.
9. 1330-##-## -> actedIn -> 1938-##-##,Invalid relationship between dates,Use relevant historical figure/entity.
10. The_Abyss -> bornOnDate -> Allez_Oop,Invalid relationship between film and film,Change 'bornOnDate' to 'releasedOn'.
14. London -> bornIn -> Teplice,Invalid relationship for context,Establish significant relation.
15. Hong_Kong -> bornIn -> 1862-##-##,Invalid relationship between region and date,Change 'bornIn' to 'establishedOn'.
16. Elektrėnai -> bornIn -> Salmon_Arm,_British_Columbia,"Invalid origin relation, Use correct relational context."
17. 1841-##-## -> bornIn -> Cuckfield,Invalid date relation type,Use contextually correct connection.
18. Coventry -> actedIn -> New_Orleans,_Louisiana,"Invalid professional action relation, Use known relevant context."
20. 1925-05-23 -> actedIn -> 1772-##-##,Invalid date relation,Utilize historical figure or context.
21. Edmonton -> actedIn -> Ilava,Invalid professional action relation,Assign proper entity or role.
22. Töv_Province -> bornOnDate -> 1976-07-02,Invalid relationship between location and date,Change 'bornOnDate' to 'discoveredOn'.
24. Shanghai -> bornIn -> Imagining_Argentina_(film),Invalid birth context,Use 'featuredIn' or relevant term.
3. Dragonheart -> actedIn -> The_Night_Brings_Charlie,Movie as subject in actedIn,Use person's name.
4. 1903-##-## -> bornIn -> Tampa,_Florida,"Date as subject in bornIn, Use person's name."
5. Lisbon -> bornOnDate -> The_Lost_World_of_Tibet,Film as object in bornOnDate,Use birth date.
7. 1944-01-01 -> actedIn -> Target_(New_Zealand_TV_series),Date as subject in actedIn,Use person's name.
8. 1823-##-## -> actedIn -> Erfurt,Date as subject in actedIn,Use person's name.
9. Paramaribo -> bornIn -> 1725-##-##,Date as object in bornIn,Use birth location.
11. Sydney -> bornOnDate -> Bairnsdale,_Victoria,"Location as object in bornOnDate, Use birth date."
14. Still_Crazy -> actedIn -> Powder_(film),Movie as subject in actedIn,Use person's name.
15. Honor_Among_Lovers -> actedIn -> 1686-##-##,Year as object in actedIn,Use film/series title.
16. Rainbow_(1996_film) -> bornOnDate -> Hillsborough_Township,_New_Jersey,"Location as object in bornOnDate, Use birth date."
18. We%27re_Back%21_A_Dinosaur%27s_Story_(film) -> bornIn -> 1828-##-##,Date as object in bornIn,Use birth location.
19. Edmonton -> bornIn -> As_the_Bell_Rings_(United_States),TV series as object in bornIn,Use birth location.
20. The_Trail_of_%2798 -> bornOnDate -> 1170-##-##,Year as object in bornOnDate,Use birth date.
21. Speed_Racer_(film) -> bornOnDate -> The_Anniversary_(film),Film as object in bornOnDate,Use birth date.
22. Roman_Candles_(film) -> bornIn -> Yes_Minister,TV series as object in bornIn,Use birth location.
24. Reykjavík -> bornOnDate -> 1793-##-##,Year as object in bornOnDate,Use birth date.
25. 1671-04-21 -> bornIn -> 1855-##-##,Date as object in bornIn,Use birth location.
26. 1967-04-23 -> actedIn -> 1754-##-##,Year as object in actedIn,Use film/series title.
